Timestamp,Longitude,Latitude,Operatorname,Node,CellID,LAC,NetworkTech,Level,Qual,SNR,CQI,LTERSSI,EventType,EventDetails,State,SourceFile
2025.07.18_22.22.05,-17.43464,14.662571,expresso,2,10171,3000,3G,-73.0,-2.0,,,,START UPLOAD,D,,expresso_log_events.txt
2025.07.18_22.22.18,-17.434699,14.662501,expresso,2,10171,3000,3G,-71.0,-3.0,,,,START DOWNLOAD,D,,expresso_log_events.txt
2025.07.18_22.22.34,-17.434793,14.662514,expresso,2,10171,3000,3G,-69.0,-6.0,,,,HANDOVER_DATA_3G3G,608-03-3000-2-10171-10637-145:608-03-3000-2-10171-10637-27,I,expresso_log_events.txt
2025.07.18_22.22.36,-17.434793,14.662514,expresso,2,40173,3000,3G,-73.0,-6.0,,,,HANDOVER_DATA_3G3G,608-03-3000-2-10171-10637-27:608-03-3000-2-40173-2947-29,I,expresso_log_events.txt
2025.07.18_22.22.40,-17.434793,14.662514,expresso,1022,5,4112,4G,-88.0,-8.0,9.0,,-61.0,IRAT_HANDOVER_DATA_3G4G,608-03-3000-2-40173-2947-29:608-03-4112-1022-5-1673-486,D,expresso_log_events.txt
2025.07.18_22.23.00,-17.434975,14.662561,expresso,1022,5,4112,4G,-91.0,-9.0,6.0,,-65.0,CALL_START,608-03-4112-1022-5 VOICE SEQUENCE:5,I,expresso_log_events.txt
2025.07.18_22.23.02,-17.434975,14.662561,expresso,2,10171,3000,3G,-67.0,-6.0,,,,CSFB_4G3G,1762,V,expresso_log_events.txt
2025.07.18_22.23.02,-17.434975,14.662561,expresso,2,10171,3000,3G,-67.0,-6.0,,,,IRAT_HANDOVER_VOICE_4G3G,608-03-4112-1022-5-1673-486:608-03-3000-2-10171-10637-27,V,expresso_log_events.txt
2025.07.18_22.23.34,-17.435345,14.662637,expresso,2,10222,3000,3G,-69.0,-4.0,,,,HANDOVER_VOICE_3G3G,608-03-3000-2-10171-10637-27:608-03-3000-2-10222-10637-27,V,expresso_log_events.txt
2025.07.18_22.23.45,-17.435442,14.662657,expresso,2,10222,3000,3G,-73.0,-4.0,,,,CALL_END,608-03-3000-2-10222 VOICE SEQUENCE:5,V,expresso_log_events.txt
2025.07.18_22.24.19,-17.435619,14.662598,expresso,2,10222,3000,3G,-77.0,-3.0,,,,START PING,V,,expresso_log_events.txt
2025.07.18_22.24.20,-17.435619,14.662598,expresso,2,10222,3000,3G,-79.0,-3.0,,,,CALL_END,608-03-3000-2-10222,D,expresso_log_events.txt
2025.07.18_22.24.23,-17.435686,14.662527,NO COVERAGE,0,-1,--,-200,-2.0,,,,,I,,,expresso_log_events.txt
2025.07.18_22.24.23,-17.435686,14.662527,1022,2,4112,4G,-79,-2.0,,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.23,-17.435686,14.662527,1022,2,4112,4G,-85,-12.0,4.0,,-55.0,,608-03-3000-2-10222-10637-27:608-03-4112-1022-2-6200-486,I,,expresso_log_events.txt
2025.07.18_22.24.24,-17.435686,14.662527,NO COVERAGE,-1,--,-200,-12,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.24,-17.435686,14.662527,1022,2,4112,4G,-85,-12.0,4.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.25,-17.435686,14.662527,NO COVERAGE,-1,--,-200,-12,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.25,-17.435686,14.662527,1022,2,4112,4G,-85,-12.0,4.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.26,-17.435686,14.662527,NO COVERAGE,-1,--,-200,-12,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.26,-17.435686,14.662527,1022,2,4112,4G,-86,-10.0,4.0,,-57.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.27,-17.435686,14.662527,NO COVERAGE,-1,--,-200,-10,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.27,-17.435686,14.662527,1022,2,4112,4G,-86,-10.0,4.0,,-57.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.28,-17.435686,14.662527,NO COVERAGE,-1,--,-200,-10,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.28,-17.435686,14.662527,1022,2,4112,4G,-88,-13.0,4.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.29,-17.435686,14.662527,NO COVERAGE,-1,--,-200,-13,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.29,-17.435686,14.662527,1022,2,4112,4G,-88,-13.0,4.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.30,-17.435716,14.662437,NO COVERAGE,-1,--,-200,-13,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.30,-17.435716,14.662437,1022,2,4112,4G,-85,-13.0,4.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.31,-17.435716,14.662437,NO COVERAGE,-1,--,-200,-13,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.31,-17.435716,14.662437,1022,2,4112,4G,-85,-13.0,4.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.32,-17.435716,14.662437,NO COVERAGE,-1,--,-200,-13,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.32,-17.435716,14.662437,1022,2,4112,4G,-87,-13.0,4.0,,-57.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.33,-17.435716,14.662437,NO COVERAGE,-1,--,-200,-13,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.33,-17.435716,14.662437,1022,2,4112,4G,-87,-13.0,4.0,,-57.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.34,-17.435716,14.662437,NO COVERAGE,-1,--,-200,-13,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.34,-17.435716,14.662437,1022,2,4112,4G,-87,-11.0,4.0,,-57.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.35,-17.435716,14.662437,NO COVERAGE,-1,--,-200,-11,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.35,-17.435716,14.662437,1022,2,4112,4G,-87,-11.0,4.0,,-57.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.36,-17.435716,14.662437,NO COVERAGE,-1,--,-200,-11,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.36,-17.435716,14.662437,1022,2,4112,4G,-86,-10.0,3.0,,-59.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.37,-17.435716,14.662437,NO COVERAGE,-1,--,-200,-10,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.37,-17.435716,14.662437,1022,2,4112,4G,-86,-10.0,3.0,,-59.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.38,-17.435747,14.662351,NO COVERAGE,-1,--,-200,-10,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.38,-17.435747,14.662351,1022,2,4112,4G,-87,-12.0,3.0,,-57.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.39,-17.435747,14.662351,NO COVERAGE,-1,--,-200,-12,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.39,-17.435747,14.662351,1022,2,4112,4G,-87,-12.0,3.0,,-57.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.40,-17.435747,14.662351,NO COVERAGE,-1,--,-200,-12,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.40,-17.435747,14.662351,1022,2,4112,4G,-85,-12.0,3.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.41,-17.435747,14.662351,NO COVERAGE,-1,--,-200,-12,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.41,-17.435747,14.662351,1022,2,4112,4G,-85,-12.0,3.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.41,-17.435747,14.662351,1022,2,4112,4G,-85,-12.0,3.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.42,-17.435747,14.662351,NO COVERAGE,-1,--,-200,-12,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.42,-17.435747,14.662351,1022,2,4112,4G,-91,-15.0,2.0,,-59.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.43,-17.435747,14.662351,NO COVERAGE,-1,--,-200,-15,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.43,-17.435747,14.662351,1022,2,4112,4G,-91,-15.0,2.0,,-59.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.44,-17.435747,14.662351,NO COVERAGE,-1,--,-200,-15,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.44,-17.435747,14.662351,1022,2,4112,4G,-89,-15.0,2.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.45,-17.435771,14.66226,NO COVERAGE,-1,--,-200,-15,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.45,-17.435771,14.66226,1022,2,4112,4G,-89,-15.0,2.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.46,-17.435771,14.66226,NO COVERAGE,-1,--,-200,-15,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.46,-17.435771,14.66226,1022,2,4112,4G,-87,-13.0,2.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.47,-17.435771,14.66226,NO COVERAGE,-1,--,-200,-13,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.47,-17.435771,14.66226,1022,2,4112,4G,-87,-13.0,2.0,,-55.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.48,-17.435771,14.66226,NO COVERAGE,-1,--,-200,-13,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.48,-17.435771,14.66226,1022,2,4112,4G,-83,-12.0,1.0,,-53.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.49,-17.435771,14.66226,NO COVERAGE,-1,--,-200,-12,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.49,-17.435771,14.66226,1022,2,4112,4G,-83,-12.0,1.0,,-53.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.50,-17.435771,14.66226,NO COVERAGE,-1,--,-200,-12,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.50,-17.435771,14.66226,1022,2,4112,4G,-81,-11.0,1.0,,-53.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.51,-17.435771,14.66226,NO COVERAGE,-1,--,-200,-11,,,,,,,,,expresso_log_events.txt
2025.07.18_22.24.51,-17.435771,14.66226,1022,2,4112,4G,-81,-11.0,1.0,,-53.0,,I,,,expresso_log_events.txt
2025.07.18_22.24.54,-17.435793,14.66216,expresso,1022,5,4112,4G,-90.0,-8.0,4.0,,-65.0,HANDOVER_DATA_4G4G,608-03-4112-1022-2-6200-486:608-03-4112-1022-5-1673-486,D,expresso_log_events.txt
2025.07.18_22.24.54,-17.435793,14.66216,expresso,1022,5,4112,4G,-90.0,-8.0,4.0,,-65.0,START DOWNLOAD,D,,expresso_log_events.txt
2025.07.18_22.25.36,-17.435891,14.661686,expresso,1022,5,4112,4G,-91.0,-7.0,9.0,,-67.0,CALL_START,608-03-4112-1022-5 VOICE SEQUENCE:6,I,expresso_log_events.txt
2025.07.18_22.25.38,-17.435891,14.661686,expresso,2,10177,3000,3G,-85.0,-6.0,,,,CSFB_4G3G,2011,VD,expresso_log_events.txt
2025.07.18_22.25.38,-17.435891,14.661686,expresso,2,10177,3000,3G,-85.0,-6.0,,,,IRAT_HANDOVER_VOICE_4G3G,608-03-4112-1022-5-1673-486:608-03-3000-2-10177-10687-27,VD,expresso_log_events.txt
2025.07.18_22.25.39,-17.435891,14.661686,expresso,2,10179,3000,3G,-69.0,-6.0,,,,HANDOVER_VOICE_3G3G,608-03-3000-2-10177-10687-27:608-03-3000-2-10179-10687-27,VD,expresso_log_events.txt
2025.07.18_22.25.40,-17.435891,14.661686,expresso,2,10177,3000,3G,-69.0,-6.0,,,,HANDOVER_VOICE_3G3G,608-03-3000-2-10179-10687-27:608-03-3000-2-10177-10687-27,VD,expresso_log_events.txt
2025.07.18_22.26.21,-17.436012,14.66122,expresso,2,10177,3000,3G,-77.0,-3.0,,,,CALL_END,608-03-3000-2-10177 VOICE SEQUENCE:6,V,expresso_log_events.txt
2025.07.18_22.26.54,-17.435966,14.660858,expresso,2,10177,3000,3G,-73.0,-2.0,,,,START PING,V,,expresso_log_events.txt
2025.07.18_22.26.56,-17.435966,14.660858,expresso,2,10177,3000,3G,-73.0,-2.0,,,,CALL_END,608-03-3000-2-10177,I,expresso_log_events.txt
2025.07.18_22.26.56,-17.435966,14.660858,expresso,2,10177,3000,3G,-73.0,-2.0,,,,START UPLOAD,I,,expresso_log_events.txt
2025.07.18_22.26.57,-17.435966,14.660858,expresso,1207,1,4112,4G,-93.0,-12.0,7.0,,-61.0,IRAT_CELL_RESELECTION_3G4G,608-03-3000-2-10177-10687-27:608-03-4112-1207-1-6200-340,D,expresso_log_events.txt
2025.07.18_22.27.09,-17.436001,14.66067,expresso,1207,1,4112,4G,-92.0,-11.0,0.0,,-65.0,START DOWNLOAD,D,,expresso_log_events.txt
2025.07.18_22.27.36,-17.436069,14.660394,expresso,1171,3,4112,4G,-95.0,-8.0,2.0,,-69.0,HANDOVER_DATA_4G4G,608-03-4112-1207-1-6200-340:608-03-4112-1171-3-6200-328,D,expresso_log_events.txt
2025.07.18_22.27.41,-17.436076,14.660301,expresso,1022,2,4112,4G,-98.0,-19.0,1.0,,-61.0,CELL_RESELECTION_4G4G,608-03-4112-1171-3-6200-328:608-03-4112-1022-2-6200-486,I,expresso_log_events.txt
2025.07.18_22.27.43,-17.436076,14.660301,expresso,1022,5,4112,4G,-104.0,-15.0,-1.0,,-69.0,CELL_RESELECTION_4G4G,608-03-4112-1022-2-6200-486:608-03-4112-1022-5-1673-486,I,expresso_log_events.txt
2025.07.18_22.27.52,-17.436081,14.660206,expresso,1022,5,4112,4G,-105.0,-13.0,-3.0,,-75.0,CALL_START,608-03-4112-1022-5 VOICE SEQUENCE:7,I,expresso_log_events.txt
2025.07.18_22.27.53,-17.436132,14.660125,expresso,1171,5,4112,4G,-95.0,-10.0,-3.0,,-67.0,HANDOVER_VOICE_4G4G,608-03-4112-1022-5-1673-486:608-03-4112-1171-5-1673-329,VD,expresso_log_events.txt
2025.07.18_22.27.55,-17.436132,14.660125,expresso,551,195,3000,4G,-95.0,-10.0,-3.0,,-67.0,HANDOVER_VOICE_4G4G,608-03-4112-1171-5-1673-329:608-03-3000-551-195-10687-29,V,expresso_log_events.txt
2025.07.18_22.27.56,-17.436132,14.660125,expresso,2,10177,3000,3G,-73.0,-12.0,,,,CSFB_4G3G,4123,VD,expresso_log_events.txt
2025.07.18_22.27.56,-17.436132,14.660125,expresso,2,10177,3000,3G,-73.0,-12.0,,,,IRAT_HANDOVER_VOICE_4G3G,608-03-3000-551-195-10687-29:608-03-3000-2-10177-10687-29,VD,expresso_log_events.txt
2025.07.18_22.27.58,-17.436132,14.660125,expresso,2,10179,3000,3G,-69.0,-11.0,,,,HANDOVER_VOICE_3G3G,608-03-3000-2-10177-10687-29:608-03-3000-2-10179-10687-29,VD,expresso_log_events.txt
2025.07.18_22.28.37,-17.436225,14.66011,expresso,2,10179,3000,3G,-69.0,-4.0,,,,CALL_END,608-03-3000-2-10179 VOICE SEQUENCE:7,V,expresso_log_events.txt
2025.07.18_22.29.10,-17.436215,14.659649,expresso,2,10179,3000,3G,-61.0,-4.0,,,,START PING,V,,expresso_log_events.txt
2025.07.18_22.29.12,-17.436215,14.659649,expresso,2,10179,3000,3G,-61.0,-4.0,,,,START UPLOAD,V,,expresso_log_events.txt
2025.07.18_22.29.14,-17.436215,14.659649,expresso,2,10179,3000,3G,-69.0,-4.0,,,,CALL_END,608-03-3000-2-10179,I,expresso_log_events.txt
2025.07.18_22.29.17,-17.436297,14.659601,NO COVERAGE,0,-1,--,-200,-3.0,,,,,I,,,expresso_log_events.txt
2025.07.18_22.29.17,-17.436297,14.659601,1207,4,4112,4G,-61,-3.0,,,-61.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.17,-17.436297,14.659601,1207,4,4112,4G,-89,-9.0,9.0,,-61.0,,608-03-3000-2-10179-10687-29:608-03-4112-1207-4-1673-340,I,,expresso_log_events.txt
2025.07.18_22.29.18,-17.436297,14.659601,NO COVERAGE,-1,--,-200,-9,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.18,-17.436297,14.659601,1207,4,4112,4G,-89,-9.0,9.0,,-61.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.19,-17.436297,14.659601,NO COVERAGE,-1,--,-200,-9,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.19,-17.436297,14.659601,1207,4,4112,4G,-90,-8.0,9.0,,-65.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.20,-17.436297,14.659601,NO COVERAGE,-1,--,-200,-8,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.20,-17.436297,14.659601,1207,4,4112,4G,-90,-8.0,8.0,,-65.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.21,-17.436297,14.659601,NO COVERAGE,-1,--,-200,-8,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.21,-17.436297,14.659601,1207,4,4112,4G,-88,-7.0,8.0,,-63.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.22,-17.436297,14.659601,NO COVERAGE,-1,--,-200,-7,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.22,-17.436297,14.659601,1207,4,4112,4G,-88,-7.0,8.0,,-63.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.23,-17.436362,14.659537,NO COVERAGE,-1,--,-200,-7,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.23,-17.436362,14.659537,1207,4,4112,4G,-94,-8.0,8.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.24,-17.436362,14.659537,NO COVERAGE,-1,--,-200,-8,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.24,-17.436362,14.659537,1207,4,4112,4G,-94,-8.0,8.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.25,-17.436362,14.659537,1207,4,4112,4G,-94,-8.0,8.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.25,-17.436362,14.659537,NO COVERAGE,-1,--,-200,-8,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.25,-17.436362,14.659537,1207,4,4112,4G,-93,-6.0,8.0,,-69.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.26,-17.436362,14.659537,NO COVERAGE,-1,--,-200,-6,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.26,-17.436362,14.659537,1207,4,4112,4G,-93,-6.0,8.0,,-69.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.27,-17.436362,14.659537,NO COVERAGE,-1,--,-200,-6,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.27,-17.436362,14.659537,1207,4,4112,4G,-95,-10.0,8.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.28,-17.436362,14.659537,NO COVERAGE,-1,--,-200,-10,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.28,-17.436362,14.659537,1207,4,4112,4G,-95,-10.0,8.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.29,-17.436362,14.659537,NO COVERAGE,-1,--,-200,-10,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.29,-17.436362,14.659537,1207,4,4112,4G,-95,-11.0,8.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.30,-17.436362,14.659537,NO COVERAGE,-1,--,-200,-11,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.30,-17.436362,14.659537,1207,4,4112,4G,-95,-11.0,8.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.31,-17.43645,14.659501,NO COVERAGE,-1,--,-200,-11,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.31,-17.43645,14.659501,1207,4,4112,4G,-92,-8.0,8.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.32,-17.43645,14.659501,NO COVERAGE,-1,--,-200,-8,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.32,-17.43645,14.659501,1207,4,4112,4G,-92,-8.0,8.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.33,-17.43645,14.659501,NO COVERAGE,-1,--,-200,-8,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.33,-17.43645,14.659501,1207,4,4112,4G,-95,-10.0,7.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.29.34,-17.43645,14.659501,NO COVERAGE,-1,--,-200,-10,,,,,,,,,expresso_log_events.txt
2025.07.18_22.29.34,-17.43645,14.659501,1207,4,4112,4G,-95,-10.0,7.0,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.30.04,-17.436712,14.659521,expresso,1171,3,4112,4G,-96.0,-16.0,2.0,,-61.0,CELL_RESELECTION_4G4G,608-03-4112-1207-4-1673-340:608-03-4112-1171-3-6200-328,I,expresso_log_events.txt
2025.07.18_22.30.07,-17.436814,14.659516,expresso,1171,3,4112,4G,-94.0,-13.0,0.0,,-63.0,CALL_START,608-03-4112-1171-3 VOICE SEQUENCE:8,I,expresso_log_events.txt
2025.07.18_22.30.07,-17.436814,14.659516,expresso,1207,4,4112,4G,-101.0,-11.0,0.0,,-73.0,CELL_RESELECTION_4G4G,608-03-4112-1171-3-6200-328:608-03-4112-1207-4-1673-340,I,expresso_log_events.txt
2025.07.18_22.30.09,-17.436814,14.659516,expresso,2,10179,3000,3G,-61.0,-4.0,,,,IRAT_HANDOVER_VOICE_4G3G,608-03-4112-1207-4-1673-340:608-03-3000-2-10179-10687-29,VD,expresso_log_events.txt
2025.07.18_22.30.09,-17.436814,14.659516,expresso,2,10179,3000,3G,-61.0,-4.0,,,,CSFB_4G3G,2334,VD,expresso_log_events.txt
2025.07.18_22.30.52,-17.43728,14.659512,expresso,2,10179,3000,3G,-61.0,-3.0,,,,CALL_END,608-03-3000-2-10179 VOICE SEQUENCE:8,V,expresso_log_events.txt
2025.07.18_22.31.25,-17.437676,14.659508,expresso,2,10179,3000,3G,-65.0,-3.0,,,,START PING,V,,expresso_log_events.txt
2025.07.18_22.31.27,-17.437676,14.659508,expresso,2,10179,3000,3G,-69.0,-3.0,,,,CALL_END,608-03-3000-2-10179,I,expresso_log_events.txt
2025.07.18_22.31.27,-17.437676,14.659508,expresso,2,10179,3000,3G,-69.0,-3.0,,,,START UPLOAD,I,,expresso_log_events.txt
2025.07.18_22.31.30,-17.437676,14.659508,NO COVERAGE,0,-1,--,-200,-3.0,,,,,I,,,expresso_log_events.txt
2025.07.18_22.31.30,-17.437676,14.659508,2,10179,3000,3G,-113,-3.0,,,,,I,,,expresso_log_events.txt
2025.07.18_22.31.31,-17.437676,14.659508,NO COVERAGE,0,-1,--,-200,-3.0,,,,,I,,,expresso_log_events.txt
2025.07.18_22.31.31,-17.437676,14.659508,1022,5,4112,4G,-113,-3.0,,,-67.0,,I,,,expresso_log_events.txt
2025.07.18_22.31.31,-17.437676,14.659508,1022,5,4112,4G,-93,-8.0,2.0,,-67.0,,608-03-3000-2-10179-10687-29:608-03-4112-1022-5-1673-486,I,,expresso_log_events.txt
2025.07.18_22.31.32,-17.437676,14.659508,NO COVERAGE,-1,--,-200,-8,,,,,,,,,expresso_log_events.txt
