Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.14.19	-17.435423	14.66527	Orange	281	4	7000	4G	-164	-	0.0	-	-113		START DOWNLOAD	D
2025.07.18_22.14.19	-17.435423	14.66527	Orange	21	25	7000	4G	-164	-	0.0	-	-113	HANDOVER_DATA_4G4G	608-01-7000-281-4-1464-174:608-01-7000-21-25-1311-142	D
2025.07.18_22.14.24	-17.435423	14.66527	Orange	23	5	7000	4G	-68	-11	0.0	11	-57	HANDOVER_DATA_4G4G	608-01-7000-21-25-1311-142:608-01-7000-23-5-6300-312	D
2025.07.18_22.14.26	-17.435423	14.66527	Orange	21	25	7000	4G	-164	-	0.0	-	-113	HANDOVER_DATA_4G4G	608-01-7000-23-5-6300-312:608-01-7000-21-25-1311-142	D
2025.07.18_22.14.36	-17.435423	14.66527	Orange	281	0	7000	4G	-73	-10	0.0	8	-63	CELL_RESELECTION_4G4G	608-01-7000-21-25-1311-142:608-01-7000-281-0-6300-465	I
2025.07.18_22.14.42	-17.435423	14.66527	Orange	281	13	7000	4G	-85	-9	0.0	-	-75	CELL_RESELECTION_4G4G	608-01-7000-281-0-6300-465:608-01-7000-281-13-2850-397	I
2025.07.18_22.15.01	-17.435325	14.66527	Orange	281	13	7000	4G	-88	-11	0.0	6	-77	CALL_START	608-01-7000-281-13 VOICE SEQUENCE:2	I
2025.07.18_22.15.07	-17.435325	14.66527	Orange	8	23091	9000	3G	-24	-	-	-	-	CSFB_4G3G	6180	V
2025.07.18_22.15.07	-17.435325	14.66527	Orange	8	23091	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-281-13-2850-397:608-01-9000-8-23091-10712-167	V
2025.07.18_22.15.17	-17.435243	14.665223	Orange	8	322	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-23091-10712-167:608-01-9000-8-322-10712-398	V
2025.07.18_22.15.46	-17.435028	14.665037	Orange	8	322	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-322 VOICE SEQUENCE:2	V
2025.07.18_22.15.51	-17.434943	14.664988	Orange	8	23091	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-322-10712-398:608-01-9000-8-23091-10712-167	VD
2025.07.18_22.16.13	-17.4349	14.664797	Orange	8	23091	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-23091	I
2025.07.18_22.16.14	-17.4349	14.664797	Orange	281	6	7000	4G	-164	-	0.0	-	-113	IRAT_CELL_RESELECTION_3G4G	608-01-9000-8-23091-10712-167:608-01-7000-281-6-1464-278	I
2025.07.18_22.16.19	-17.4349	14.664797	Orange	281	6	7000	4G	-67	-9	0.0	7	-59		START PING	D
2025.07.18_22.16.25	-17.43489	14.6647	Orange	281	6	7000	4G	-67	-9	0.0	6	-59		START UPLOAD	D
2025.07.18_22.16.38	-17.434872	14.664607	Orange	281	6	7000	4G	-68	-9	0.0	11	-59		START DOWNLOAD	D
2025.07.18_22.16.42	-17.434872	14.664607	Orange	281	7	7000	4G	-74	-12	0.0	-	-61	HANDOVER_DATA_4G4G	608-01-7000-281-6-1464-278:608-01-7000-281-7-1464-120	D
2025.07.18_22.16.48	-17.434872	14.664607	Orange	281	13	7000	4G	-83	-14	0.0	-	-69	HANDOVER_DATA_4G4G	608-01-7000-281-7-1464-120:608-01-7000-281-13-2850-397	D
2025.07.18_22.16.50	-17.434872	14.664607	Orange	281	10	7000	4G	-81	-12	0.0	15	-69	CELL_RESELECTION_4G4G	608-01-7000-281-13-2850-397:608-01-7000-281-10-2850-276	I
2025.07.18_22.17.05	-17.434837	14.664415	Orange	281	0	7000	4G	-64	-9	0.0	-	-55	CELL_RESELECTION_4G4G	608-01-7000-281-10-2850-276:608-01-7000-281-0-6300-465	I
2025.07.18_22.17.07	-17.434837	14.664415	Orange	281	13	7000	4G	-76	-11	0.0	-	-65	CELL_RESELECTION_4G4G	608-01-7000-281-0-6300-465:608-01-7000-281-13-2850-397	I
2025.07.18_22.17.11	-17.434858	14.664315	Orange	281	10	7000	4G	-164	-	0.0	-	-113	HANDOVER_DATA_4G4G	608-01-7000-281-13-2850-397:608-01-7000-281-10-2850-276	D
2025.07.18_22.17.12	-17.434858	14.664315	Orange	281	13	7000	4G	-164	-	0.0	-	-113	HANDOVER_DATA_4G4G	608-01-7000-281-10-2850-276:608-01-7000-281-13-2850-397	D
2025.07.18_22.17.20	-17.43484	14.664223	Orange	281	13	7000	4G	-164	-	0.0	-	-113	CALL_START	608-01-7000-281-13 VOICE SEQUENCE:3	I
2025.07.18_22.17.27	-17.434815	14.66413	Orange	8	23091	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-281-13-2850-397:608-01-9000-8-23091-10712-167	VD
2025.07.18_22.17.27	-17.434815	14.66413	Orange	8	23091	9000	3G	-24	-	-	-	-	CSFB_4G3G	6602	VD
2025.07.18_22.18.05	-17.434785	14.663745	Orange	8	23091	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-23091 VOICE SEQUENCE:3	V
2025.07.18_22.18.31	-17.434753	14.663553	Orange	8	23091	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-23091	D
2025.07.18_22.18.32	-17.434753	14.663553	Orange	281	7	7000	4G	-164	-	0.0	10	-113	IRAT_CELL_RESELECTION_3G4G	608-01-9000-8-23091-10712-167:608-01-7000-281-7-1464-120	I
2025.07.18_22.18.38	-17.43477	14.66346	Orange	281	7	7000	4G	-73	-11	0.0	-	-63		START PING	I
2025.07.18_22.18.44	-17.434772	14.663368	Orange	281	7	7000	4G	-70	-7	0.0	10	-63		START UPLOAD	D
2025.07.18_22.18.57	-17.434738	14.663277	Orange	281	7	7000	4G	-69	-7	0.0	9	-63		START DOWNLOAD	D
2025.07.18_22.19.00	-17.434738	14.663277	Orange	281	13	7000	4G	-76	-13	0.0	-	-63	HANDOVER_DATA_4G4G	608-01-7000-281-7-1464-120:608-01-7000-281-13-2850-397	D
2025.07.18_22.19.39	-17.434502	14.662853	Orange	281	13	7000	4G	-84	-10	0.0	9	-75	CALL_START	608-01-7000-281-13 VOICE SEQUENCE:4	I
2025.07.18_22.19.46	-17.434523	14.66276	Orange	8	14952	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-281-13-2850-397:608-01-9000-8-14952-10712-413	V
2025.07.18_22.19.46	-17.434523	14.66276	Orange	8	14952	9000	3G	-24	-	-	-	-	CSFB_4G3G	7125	V
2025.07.18_22.19.56	-17.434587	14.662692	Orange	8	14953	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-14952-10712-413:608-01-9000-8-14953-10712-446	V
2025.07.18_22.20.24	-17.434662	14.662513	Orange	8	14953	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-14953 VOICE SEQUENCE:4	V
2025.07.18_22.20.57	-17.434662	14.662513	Orange	8	14953	9000	3G	-24	-	-	-	-		START PING	V
2025.07.18_22.21.04	-17.434662	14.662513	Orange	8	14953	9000	3G	-24	-	-	-	-		START UPLOAD	VD
2025.07.18_22.21.17	-17.434757	14.662525	Orange	8	14953	9000	3G	-24	-	-	-	-		START DOWNLOAD	VD
2025.07.18_22.21.25	-17.434757	14.662525	Orange	8	14952	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-14953-10712-446:608-01-9000-8-14952-10712-413	VD
2025.07.18_22.21.31	-17.434848	14.662507	Orange	8	14953	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-14952-10712-413:608-01-9000-8-14953-10712-446	VD
2025.07.18_22.21.32	-17.434848	14.662507	Orange	8	14953	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-14953	D
2025.07.18_22.21.33	-17.434848	14.662507	Orange	145	2	7000	4G	-164	-	0.0	-	-113	IRAT_HANDOVER_DATA_3G4G	608-01-9000-8-14953-10712-446:608-01-7000-145-2-1464-118	D
2025.07.18_22.21.59	-17.43512	14.662548	Orange	145	2	7000	4G	-74	-9	0.0	13	-65	CALL_START	608-01-7000-145-2 VOICE SEQUENCE:5	I
2025.07.18_22.21.59	-17.43512	14.662548	Orange	281	10	7000	4G	-164	-	0.0	-	-113	HANDOVER_VOICE_4G4G	608-01-7000-145-2-1464-118:608-01-7000-281-10-2850-276	V
2025.07.18_22.22.06	-17.435218	14.66257	Orange	8	14955	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-281-10-2850-276:608-01-9000-8-14955-10737-413	V
2025.07.18_22.22.06	-17.435218	14.66257	Orange	8	14955	9000	3G	-24	-	-	-	-	CSFB_4G3G	7588	V
2025.07.18_22.22.12	-17.4353	14.662613	Orange	8	14956	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-14955-10737-413:608-01-9000-8-14956-10737-446	V
2025.07.18_22.22.44	-17.435497	14.66262	Orange	8	14956	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-14956 VOICE SEQUENCE:5	V
2025.07.18_22.22.55	-17.435497	14.66262	Orange	8	23095	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-14956-10737-446:608-01-9000-8-23095-10737-260	V
2025.07.18_22.23.02	-17.435597	14.662623	Orange	8	7225	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-23095-10737-260:608-01-9000-8-7225-10737-229	V
2025.07.18_22.23.12	-17.435657	14.662553	Orange	8	23095	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-7225-10737-229:608-01-9000-8-23095-10737-260	V
2025.07.18_22.23.17	-17.435705	14.662473	Orange	8	23095	9000	3G	-24	-	-	-	-		START PING	V
2025.07.18_22.23.21	-17.435705	14.662473	Orange	8	23095	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-23095	D
2025.07.18_22.23.22	-17.435705	14.662473	Orange	281	5	7000	4G	-164	-	0.0	-	-113	IRAT_HANDOVER_DATA_3G4G	608-01-9000-8-23095-10737-260:608-01-7000-281-5-1464-403	D
2025.07.18_22.23.24	-17.435703	14.662382	Orange	281	5	7000	4G	-164	-	0.0	-	-113		START UPLOAD	D
2025.07.18_22.23.37	-17.435703	14.662288	Orange	281	5	7000	4G	-78	-11	0.0	9	-67		START DOWNLOAD	D
2025.07.18_22.23.55	-17.435802	14.662023	Orange	60	36	9500	4G	-164	-	0.0	-	-113	CELL_RESELECTION_4G4G	608-01-7000-281-5-1464-403:608-01-9500-60-36-2850-213	D
2025.07.18_22.23.57	-17.435802	14.662023	Orange	281	1	7000	4G	-75	-12	0.0	9	-63	HANDOVER_DATA_4G4G	608-01-9500-60-36-2850-213:608-01-7000-281-1-6300-293	D
2025.07.18_22.24.00	-17.435802	14.662023	Orange	281	5	7000	4G	-164	-	0.0	-	-113	HANDOVER_DATA_4G4G	608-01-7000-281-1-6300-293:608-01-7000-281-5-1464-403	D
2025.07.18_22.24.12	-17.435782	14.661833	Orange	60	36	9500	4G	-164	-	0.0	-	-113	CELL_RESELECTION_4G4G	608-01-7000-281-5-1464-403:608-01-9500-60-36-2850-213	I
2025.07.18_22.24.19	-17.435818	14.66173	Orange	60	36	9500	4G	-112	-17	0.0	4	-95	CALL_START	608-01-9500-60-36 VOICE SEQUENCE:6	I
2025.07.18_22.24.27	-17.435827	14.66163	Orange	8	23092	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-9500-60-36-2850-213:608-01-9000-8-23092-10712-260	VD
2025.07.18_22.24.27	-17.435827	14.66163	Orange	8	23092	9000	3G	-24	-	-	-	-	CSFB_4G3G	8275	VD
2025.07.18_22.25.04	-17.4359	14.661175	Orange	8	23092	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-23092 VOICE SEQUENCE:6	V
2025.07.18_22.25.37	-17.435928	14.660913	Orange	8	23092	9000	3G	-24	-	-	-	-		START PING	V
2025.07.18_22.25.43	-17.435933	14.660815	Orange	8	23092	9000	3G	-24	-	-	-	-		START UPLOAD	VD
2025.07.18_22.25.56	-17.436	14.660627	Orange	8	23092	9000	3G	-24	-	-	-	-		START DOWNLOAD	VD
2025.07.18_22.26.13	-17.436065	14.66044	Orange	8	23092	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-23092	D
2025.07.18_22.26.14	-17.436065	14.66044	Orange	281	5	7000	4G	-164	-	0.0	-	-113	IRAT_HANDOVER_DATA_3G4G	608-01-9000-8-23092-10712-260:608-01-7000-281-5-1464-403	D
2025.07.18_22.26.26	-17.436093	14.660345	Orange	281	10	7000	4G	-114	-12	0.0	-	-103	CELL_RESELECTION_4G4G	608-01-7000-281-5-1464-403:608-01-7000-281-10-2850-276	I
2025.07.18_22.26.31	-17.436085	14.660248	Orange	281	5	7000	4G	-164	-	0.0	-	-113	HANDOVER_DATA_4G4G	608-01-7000-281-10-2850-276:608-01-7000-281-5-1464-403	D
2025.07.18_22.26.38	-17.436103	14.660157	Orange	281	5	7000	4G	-77	-11	0.0	-	-67	CALL_START	608-01-7000-281-5 VOICE SEQUENCE:7	D
2025.07.18_22.26.46	-17.436103	14.660157	Orange	8	60957	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-281-5-1464-403:608-01-9000-8-60957-10762-483	V
2025.07.18_22.26.46	-17.436103	14.660157	Orange	8	60957	9000	3G	-24	-	-	-	-	CSFB_4G3G	7716	V
2025.07.18_22.27.23	-17.43626	14.659992	Orange	8	60957	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-60957 VOICE SEQUENCE:7	V
2025.07.18_22.27.56	-17.436187	14.659708	Orange	8	60957	9000	3G	-24	-	-	-	-		START PING	V
2025.07.18_22.28.02	-17.436218	14.659623	Orange	8	60957	9000	3G	-24	-	-	-	-		START UPLOAD	VD
2025.07.18_22.28.15	-17.436353	14.659493	Orange	8	8	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-60957-10762-483:608-01-9000-8-8-10762-347	VD
2025.07.18_22.28.15	-17.436353	14.659493	Orange	8	8	9000	3G	-24	-	-	-	-		START DOWNLOAD	VD
2025.07.18_22.28.21	-17.436353	14.659493	Orange	8	60957	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-8-10762-347:608-01-9000-8-60957-10762-483	VD
2025.07.18_22.28.25	-17.436443	14.659452	Orange	8	60958	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-60957-10762-483:608-01-9000-8-60958-10762-467	V
2025.07.18_22.28.32	-17.436542	14.659438	Orange	8	60958	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-60958	I
2025.07.18_22.28.32	-17.436542	14.659438	Orange	57	1	7000	4G	-164	-	0.0	-	-113	IRAT_CELL_RESELECTION_3G4G	608-01-9000-8-60958-10762-467:608-01-7000-57-1-1464-79	I
2025.07.18_22.28.57	-17.436835	14.659407	Orange	57	1	7000	4G	-91	-10	0.0	7	-81	CALL_START	608-01-7000-57-1 VOICE SEQUENCE:8	I
2025.07.18_22.29.04	-17.436835	14.659407	Orange	8	2	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-57-1-1464-79:608-01-9000-8-2-10712-347	V
2025.07.18_22.29.04	-17.436835	14.659407	Orange	8	2	9000	3G	-24	-	-	-	-	CSFB_4G3G	7049	V
2025.07.18_22.29.41	-17.437315	14.659477	Orange	8	60951	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-2-10712-347:608-01-9000-8-60951-10712-483	V
2025.07.18_22.29.42	-17.437315	14.659477	Orange	8	60951	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-60951 VOICE SEQUENCE:8	V
2025.07.18_22.29.45	-17.437315	14.659477	Orange	8	2	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-60951-10712-483:608-01-9000-8-2-10712-347	V
2025.07.18_22.30.15	-17.437678	14.659435	Orange	8	2	9000	3G	-24	-	-	-	-		START PING	V
2025.07.18_22.30.22	-17.437772	14.659457	Orange	8	2	9000	3G	-24	-	-	-	-		START UPLOAD	VD
2025.07.18_22.30.35	-17.437868	14.659458	Orange	8	2	9000	3G	-24	-	-	-	-		START DOWNLOAD	VD
2025.07.18_22.30.49	-17.43807	14.65951	Orange	8	2	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-2	D
2025.07.18_22.30.50	-17.438112	14.659593	Orange	57	1	7000	4G	-84	-11	0.0	-	-75	IRAT_HANDOVER_DATA_3G4G	608-01-9000-8-2-10712-347:608-01-7000-57-1-1464-79	I
2025.07.18_22.30.52	-17.438112	14.659593	Orange	57	2	7000	4G	-82	-9	0.0	-	-73	HANDOVER_DATA_4G4G	608-01-7000-57-1-1464-79:608-01-7000-57-2-1464-80	D
2025.07.18_22.31.17	-17.438393	14.65966	Orange	57	2	7000	4G	-79	-9	0.0	7	-71	CALL_START	608-01-7000-57-2 VOICE SEQUENCE:9	I
2025.07.18_22.31.25	-17.438487	14.659693	Orange	8	6	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-57-2-1464-80:608-01-9000-8-6-10737-379	VD
2025.07.18_22.31.25	-17.438487	14.659693	Orange	8	6	9000	3G	-24	-	-	-	-	CSFB_4G3G	8233	VD
2025.07.18_22.32.02	-17.438875	14.659778	Orange	8	6	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-6 VOICE SEQUENCE:9	V
2025.07.18_22.32.35	-17.439237	14.659888	Orange	8	6	9000	3G	-24	-	-	-	-		START PING	VD
2025.07.18_22.32.47	-17.439428	14.65996	Orange	8	6	9000	3G	-24	-	-	-	-		START UPLOAD	VD
2025.07.18_22.32.56	-17.439422	14.660057	Orange	8	6	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-6	D
2025.07.18_22.32.56	-17.439422	14.660057	Orange	8	3025	9000	3G	-24	-	-	-	-	HANDOVER_DATA_3G3G	608-01-9000-8-6-10737-379:608-01-9000-8-3025-10737-271	D
2025.07.18_22.32.57	-17.439422	14.660057	Orange	22	2	7000	4G	-164	-	0.0	-	-113	IRAT_HANDOVER_DATA_3G4G	608-01-9000-8-3025-10737-271:608-01-7000-22-2-1464-475	D
2025.07.18_22.32.59	-17.439422	14.660057	Orange	1429	14	9500	4G	-115	-17	0.0	-	-97	HANDOVER_DATA_4G4G	608-01-7000-22-2-1464-475:608-01-9500-1429-14-2850-416	D
2025.07.18_22.33.00	-17.439422	14.660057	Orange	1429	14	9500	4G	-115	-17	0.0	-	-97		START DOWNLOAD	D
2025.07.18_22.33.02	-17.439422	14.660057	Orange	22	2	7000	4G	-78	-10	0.0	-	-69	HANDOVER_DATA_4G4G	608-01-9500-1429-14-2850-416:608-01-7000-22-2-1464-475	D
2025.07.18_22.33.06	-17.439422	14.660057	Orange	57	2	7000	4G	-164	-	0.0	-	-113	HANDOVER_DATA_4G4G	608-01-7000-22-2-1464-475:608-01-7000-57-2-1464-80	D
2025.07.18_22.33.34	-17.439428	14.660148	Orange	1429	14	9500	4G	-164	-	0.0	-	-113	HANDOVER_DATA_4G4G	608-01-7000-57-2-1464-80:608-01-9500-1429-14-2850-416	D
2025.07.18_22.33.43	-17.43937	14.660228	Orange	1429	14	9500	4G	-112	-15	0.0	-	-97	CALL_START	608-01-9500-1429-14 VOICE SEQUENCE:10	D
2025.07.18_22.33.43	-17.43937	14.660228	Orange	22	5	7000	4G	-70	-11	0.0	10	-59	HANDOVER_VOICE_4G4G	608-01-9500-1429-14-2850-416:608-01-7000-22-5-6300-69	V
2025.07.18_22.33.50	-17.439313	14.660302	Orange	8	18163	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-22-5-6300-69:608-01-9000-8-18163-3019-18	V
2025.07.18_22.33.50	-17.439313	14.660302	Orange	8	18163	9000	3G	-24	-	-	-	-	CSFB_4G3G	7439	V
2025.07.18_22.34.28	-17.439075	14.66062	Orange	8	18163	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-18163 VOICE SEQUENCE:10	VD
2025.07.18_22.35.01	-17.438928	14.660858	Orange	8	18163	9000	3G	-24	-	-	-	-		START PING	V
2025.07.18_22.35.04	-17.438928	14.660858	Orange	8	18163	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-18163	I
2025.07.18_22.35.07	-17.438928	14.660858	Orange	8	18163	9000	3G	-24	-	-	-	-		START UPLOAD	D
2025.07.18_22.35.07	-17.438928	14.660858	Orange	22	5	7000	4G	-164	-	0.0	-	-113	IRAT_HANDOVER_DATA_3G4G	608-01-9000-8-18163-3019-18:608-01-7000-22-5-6300-69	D
2025.07.18_22.35.10	-17.438878	14.660947	Orange	57	6	7000	4G	-71	-10	0.0	15	-61	HANDOVER_DATA_4G4G	608-01-7000-22-5-6300-69:608-01-7000-57-6-6300-71	D
2025.07.18_22.35.12	-17.438878	14.660947	Orange	56	11	7000	4G	-112	-12	0.0	-	-101	HANDOVER_DATA_4G4G	608-01-7000-57-6-6300-71:608-01-7000-56-11-2850-190	D
2025.07.18_22.35.16	-17.438878	14.660947	Orange	57	2	7000	4G	-69	-7	0.0	9	-63	HANDOVER_DATA_4G4G	608-01-7000-56-11-2850-190:608-01-7000-57-2-1464-80	D
2025.07.18_22.35.20	-17.43885	14.661038	Orange	57	2	7000	4G	-68	-7	0.0	8	-61		START DOWNLOAD	D
2025.07.18_22.35.45	-17.438738	14.661188	Orange	22	5	7000	4G	-60	-8	0.0	11	-53	CELL_RESELECTION_4G4G	608-01-7000-57-2-1464-80:608-01-7000-22-5-6300-69	I
2025.07.18_22.35.53	-17.438677	14.661257	Orange	56	11	7000	4G	-107	-13	0.0	5	-95	CELL_RESELECTION_4G4G	608-01-7000-22-5-6300-69:608-01-7000-56-11-2850-190	I
2025.07.18_22.36.02	-17.438677	14.661257	Orange	56	11	7000	4G	-108	-13	0.0	3	-95	CALL_START	608-01-7000-56-11 VOICE SEQUENCE:11	I
2025.07.18_22.36.09	-17.438677	14.661257	Orange	8	36872	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-56-11-2850-190:608-01-9000-8-36872-10612-271	VD
2025.07.18_22.36.09	-17.438677	14.661257	Orange	8	36872	9000	3G	-24	-	-	-	-	CSFB_4G3G	6361	VD
2025.07.18_22.36.47	-17.438782	14.661277	Orange	8	36872	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-36872 VOICE SEQUENCE:11	V
2025.07.18_22.37.20	-17.438945	14.661355	Orange	8	36872	9000	3G	-24	-	-	-	-		START PING	V
2025.07.18_22.37.27	-17.439027	14.661412	Orange	8	36872	9000	3G	-24	-	-	-	-		START UPLOAD	VD
2025.07.18_22.37.40	-17.439082	14.661497	Orange	8	36872	9000	3G	-24	-	-	-	-		START DOWNLOAD	VD
2025.07.18_22.37.56	-17.439255	14.661585	Orange	8	36872	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-36872	D
2025.07.18_22.37.57	-17.439255	14.661585	Orange	22	2	7000	4G	-164	-	0.0	15	-113	IRAT_HANDOVER_DATA_3G4G	608-01-9000-8-36872-10612-271:608-01-7000-22-2-1464-475	D
2025.07.18_22.38.07	-17.439337	14.66165	Orange	22	1	7000	4G	-71	-8	0.0	15	-63	HANDOVER_DATA_4G4G	608-01-7000-22-2-1464-475:608-01-7000-22-1-1464-276	D
2025.07.18_22.38.11	-17.439418	14.661713	Orange	22	2	7000	4G	-164	-	0.0	15	-113	HANDOVER_DATA_4G4G	608-01-7000-22-1-1464-276:608-01-7000-22-2-1464-475	D
2025.07.18_22.38.17	-17.439418	14.661713	Orange	22	1	7000	4G	-65	-7	0.0	12	-59	CELL_RESELECTION_4G4G	608-01-7000-22-2-1464-475:608-01-7000-22-1-1464-276	I
2025.07.18_22.38.21	-17.439485	14.661787	Orange	22	2	7000	4G	-64	-5	0.0	15	-59	CELL_RESELECTION_4G4G	608-01-7000-22-1-1464-276:608-01-7000-22-2-1464-475	I
2025.07.18_22.38.22	-17.439485	14.661787	Orange	22	2	7000	4G	-64	-5	0.0	15	-59	CALL_START	608-01-7000-22-2 VOICE SEQUENCE:12	I
2025.07.18_22.38.27	-17.439485	14.661787	Orange	8	3022	9000	3G	-24	-	-	-	-	CSFB_4G3G	5803	V
2025.07.18_22.38.27	-17.439485	14.661787	Orange	8	3022	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-22-2-1464-475:608-01-9000-8-3022-10712-271	V
2025.07.18_22.39.07	-17.439612	14.661927	Orange	8	3022	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-3022 VOICE SEQUENCE:12	V
2025.07.18_22.39.39	-17.439645	14.662017	Orange	8	3021	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-3022-10712-271:608-01-9000-8-3021-10712-126	V
2025.07.18_22.39.40	-17.439645	14.662017	Orange	8	3021	9000	3G	-24	-	-	-	-		START PING	V
